funded_amnt,addr_state,annual_inc,application_type,dti,earliest_cr_line,emp_length,emp_title,fico_range_high,fico_range_low,grade,home_ownership,id,initial_list_status,installment,int_rate,loan_amnt,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,last_pymnt_amnt,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths
21000.0,NY,105000.0,Individual,11.37,Feb-1998,6 years,Materials Designer,674.0,670.0,C,RENT,67788717,w,482.56,13.44,21000.0,0.0,4.0,0.0,0.0,credit_card,38637.0,87.8,C3, 60 months,Credit card refinancing,10.0,Not Verified,112xx,12771.96,4.0,3.0,214.0,99.1,351.0,9659.0,4.0
5000.0,NJ,195000.0,Individual,14.17,Feb-1989,10+ years,Seniro Computer Service Technician,694.0,690.0,B,MORTGAGE,68373313,w,157.82,8.49,5000.0,3.0,12.0,0.0,0.0,major_purchase,84853.0,98.8,B1, 36 months,Major purchase,23.0,Source Verified,088xx,157.75,6.0,11.0,322.0,99.3,115.0,32422.0,4.0
15000.0,WI,40500.0,Individual,31.17,Sep-1995,,,724.0,720.0,B,MORTGAGE,68414875,w,478.19,9.17,15000.0,6.0,11.0,0.0,0.0,debt_consolidation,8929.0,40.8,B2, 36 months,Debt consolidation,32.0,Not Verified,549xx,58.53,6.0,12.0,243.0,52.2,7308.0,15681.0,3.0
12000.0,AL,40000.0,Individual,28.62,Oct-1998,9 years,Assistant manager,664.0,660.0,F,OWN,67910063,w,331.36,21.99,12000.0,0.0,17.0,0.0,0.0,debt_consolidation,12461.0,65.2,F1, 60 months,Debt consolidation,26.0,Verified,363xx,8051.63,7.0,6.0,82.0,96.7,170.0,1785.0,10.0
6600.0,NY,150000.0,Individual,9.66,Jan-2000,10+ years,Service,699.0,695.0,A,MORTGAGE,67869137,w,206.55,7.91,6600.0,6.0,9.0,1.0,1.0,home_improvement,2071.0,11.3,A5, 36 months,Home improvement,34.0,Not Verified,119xx,35.24,3.0,9.0,191.0,11.9,15331.0,30556.0,7.0
15000.0,TX,52500.0,Individual,4.96,Feb-2002,4 years,Legal Secretary,699.0,695.0,B,RENT,68535954,w,482.61,9.8,15000.0,3.0,8.0,1.0,1.0,debt_consolidation,10459.0,52.3,B3, 36 months,Debt consolidation,16.0,Not Verified,752xx,482.22,3.0,12.0,146.0,68.0,4318.0,1307.0,2.0
18000.0,WI,90000.0,Individual,11.53,Nov-2000,10+ years,Senior Bank Manager,689.0,685.0,A,MORTGAGE,67339224,w,542.07,5.32,18000.0,1.0,12.0,0.0,0.0,credit_card,13922.0,70.7,A1, 36 months,Credit card refinancing,26.0,Not Verified,537xx,13348.76,8.0,3.0,98.0,80.4,1839.0,22988.0,6.0
13200.0,NY,100000.0,Individual,23.39,Sep-2002,2 years,Nurse Practitioner,714.0,710.0,C,MORTGAGE,68586174,w,299.54,12.88,13200.0,4.0,21.0,0.0,0.0,credit_card,6165.0,34.2,C2, 60 months,Credit card refinancing,49.0,Not Verified,148xx,7971.82,4.0,3.0,152.0,46.5,6735.0,18750.0,11.0
2000.0,VA,46000.0,Individual,25.18,May-2005,< 1 year,Social Worker,674.0,670.0,C,RENT,68434374,w,68.35,13.99,2000.0,0.0,13.0,0.0,0.0,other,5048.0,54.0,C4, 36 months,Other,14.0,Not Verified,236xx,832.13,9.0,2.0,97.0,80.0,1225.0,612.0,5.0
15000.0,WA,320000.0,Individual,11.24,Jul-1993,10+ years,Dentist,679.0,675.0,B,MORTGAGE,66510702,w,472.68,8.38,15000.0,3.0,16.0,0.0,0.0,debt_consolidation,55606.0,91.0,B1, 36 months,Debt consolidation,37.0,Source Verified,986xx,1878.61,10.0,9.0,269.0,98.6,505.0,42846.0,4.0
12000.0,CA,50000.0,Individual,20.31,Oct-1994,3 years,Credit Operations Supervisor,664.0,660.0,C,RENT,67858498,w,410.08,13.99,12000.0,0.0,13.0,1.0,1.0,debt_consolidation,7167.0,33.0,C4, 36 months,Debt consolidation,37.0,Verified,907xx,1153.49,8.0,0.0,153.0,50.0,6453.0,4863.0,11.0
24000.0,NH,210000.0,Individual,14.85,Oct-1988,10+ years,VP Operations Roofing,699.0,695.0,B,MORTGAGE,67417871,w,757.51,8.49,24000.0,4.0,14.0,0.0,0.0,debt_consolidation,61721.0,88.3,B1, 36 months,Debt consolidation,38.0,Source Verified,038xx,16227.33,6.0,1.0,326.0,91.2,5852.0,29517.0,6.0
7925.0,MA,70000.0,Individual,23.93,Apr-2002,8 years,Lc operator,664.0,660.0,C,RENT,67878829,w,269.59,13.67,7925.0,4.0,10.0,1.0,1.0,credit_card,15002.0,78.1,C4, 36 months,Credit card refinancing,25.0,Not Verified,021xx,269.59,7.0,3.0,164.0,76.9,4093.0,48459.0,5.0
15000.0,TX,60000.0,Individual,31.76,Aug-2004,1 year,Underwriter,684.0,680.0,C,OWN,68494640,w,518.88,14.85,15000.0,2.0,15.0,0.0,0.0,house,6758.0,21.9,C5, 36 months,Home buying,27.0,Source Verified,762xx,12459.63,4.0,9.0,136.0,39.4,8307.0,5215.0,7.0
30000.0,VA,130000.0,Individual,9.73,Oct-1995,6 years,IT Engineer,754.0,750.0,A,OWN,68113132,w,933.05,7.49,30000.0,3.0,23.0,0.0,0.0,debt_consolidation,22575.0,24.4,A4, 36 months,Debt consolidation,54.0,Source Verified,222xx,1019.9,6.0,10.0,146.0,38.4,36225.0,8590.0,6.0
18000.0,WA,135000.0,Individual,13.42,Dec-2004,10+ years,AIR TRAFFIC CONTROL SPECIALIST,679.0,675.0,C,MORTGAGE,67859478,w,400.31,11.99,18000.0,4.0,22.0,0.0,0.0,debt_consolidation,10225.0,37.3,C1, 60 months,Debt consolidation,36.0,Not Verified,981xx,449.49,10.0,4.0,130.0,80.2,2235.0,12823.0,6.0
12000.0,CA,45000.0,Individual,23.76,Jun-1994,10+ years,Sales assistant,674.0,670.0,B,RENT,68019433,w,395.6,11.48,12000.0,0.0,8.0,1.0,1.0,debt_consolidation,7988.0,54.7,B5, 36 months,Debt consolidation,18.0,Verified,928xx,6616.54,4.0,9.0,258.0,36.9,4104.0,4643.0,7.0
7200.0,GA,160000.0,Individual,9.85,Apr-1984,4 years,Manager of Direct Sales,684.0,680.0,B,MORTGAGE,68434487,w,234.97,10.78,7200.0,5.0,13.0,6.0,0.0,home_improvement,19246.0,61.3,B4, 36 months,Home improvement,37.0,Source Verified,300xx,234.94,8.0,4.0,380.0,96.1,575.0,3253.0,7.0
6450.0,ND,22000.0,Individual,15.88,May-2007,,,769.0,765.0,E,RENT,67798909,w,236.4,18.99,6450.0,0.0,7.0,0.0,0.0,other,977.0,6.0,E3, 36 months,Other,12.0,Verified,583xx,236.34,3.0,1.0,75.0,7.8,11523.0,860.0,5.0
6500.0,KY,105000.0,Individual,21.65,Apr-1992,10+ years,Yard ,679.0,675.0,B,MORTGAGE,67788614,w,205.16,8.49,6500.0,4.0,18.0,1.0,1.0,credit_card,20412.0,65.2,B1, 36 months,Credit card refinancing,36.0,Not Verified,400xx,205.11,8.0,8.0,284.0,80.6,3118.0,17175.0,6.0
27600.0,WI,73000.0,Individual,23.77,May-1989,10+ years,Practice Mgr,724.0,720.0,A,MORTGAGE,67839254,w,558.45,7.91,27600.0,5.0,22.0,0.0,0.0,debt_consolidation,28695.0,32.0,A5, 60 months,Debt consolidation,40.0,Not Verified,549xx,16227.6,16.0,4.0,319.0,48.4,25346.0,11342.0,4.0
35000.0,CA,115000.0,Individual,11.41,Sep-1997,< 1 year,Global Instructional Design Specialist,714.0,710.0,B,RENT,68029004,w,1125.42,9.76,35000.0,0.0,16.0,0.0,0.0,credit_card,29789.0,40.4,B3, 36 months,Credit card refinancing,32.0,Source Verified,950xx,1125.42,10.0,13.0,219.0,61.0,11286.0,3453.0,11.0
12000.0,FL,48000.0,Individual,16.25,Jul-1985,10+ years,machinist,674.0,670.0,B,MORTGAGE,68435515,w,382.55,9.17,12000.0,4.0,11.0,1.0,1.0,debt_consolidation,8228.0,36.6,B2, 36 months,Debt consolidation,27.0,Verified,347xx,382.42,6.0,3.0,229.0,39.5,12169.0,35516.0,4.0
12000.0,CA,60000.0,Individual,25.68,Aug-2007,1 year,Communications Manager,729.0,725.0,A,RENT,67356828,w,361.38,5.32,12000.0,0.0,10.0,0.0,0.0,credit_card,10206.0,32.3,A1, 36 months,Credit card refinancing,16.0,Not Verified,900xx,10493.19,4.0,21.0,100.0,36.4,17117.0,5353.0,2.0
7000.0,CA,50000.0,Individual,11.86,Apr-2000,2 years,Hay squeeze driver ,719.0,715.0,A,RENT,67819520,w,219.0,7.89,7000.0,0.0,9.0,0.0,0.0,debt_consolidation,6743.0,30.1,A5, 36 months,Debt consolidation,16.0,Source Verified,931xx,3138.95,4.0,13.0,188.0,26.5,15363.0,3017.0,3.0
33000.0,PA,88500.0,Individual,29.63,Jan-2002,10+ years,General engineer,689.0,685.0,C,MORTGAGE,67868935,w,1105.4,12.59,33000.0,4.0,13.0,0.0,0.0,debt_consolidation,11616.0,77.4,C2, 36 months,Debt consolidation,27.0,Verified,152xx,1105.4,6.0,14.0,167.0,78.2,1288.0,8822.0,5.0
22750.0,WI,270000.0,Individual,9.95,May-1998,4 years,Executive Director Electronics & Systems,674.0,670.0,C,RENT,67317748,w,519.74,13.18,22750.0,4.0,7.0,0.0,0.0,credit_card,54470.0,86.9,C3, 60 months,Credit card refinancing,26.0,Not Verified,532xx,519.74,4.0,15.0,211.0,90.6,5531.0,11737.0,4.0
17400.0,OR,175000.0,Individual,7.04,Nov-1999,10+ years,Owner,699.0,695.0,B,MORTGAGE,68547298,w,356.91,8.49,17400.0,5.0,6.0,0.0,0.0,debt_consolidation,3048.0,32.1,B1, 60 months,Debt consolidation,18.0,Source Verified,973xx,12273.95,2.0,11.0,193.0,22.7,3866.0,52600.0,7.0
9200.0,LA,50000.0,Individual,23.16,Jul-2010,3 years,Sheriff's Deputy,669.0,665.0,C,MORTGAGE,68424852,w,309.46,12.88,9200.0,1.0,10.0,0.0,0.0,credit_card,15844.0,78.0,C2, 36 months,Credit card refinancing,24.0,Source Verified,713xx,9315.06,5.0,3.0,50.0,69.1,2469.0,19743.0,8.0
18000.0,CA,61000.0,Individual,32.85,Aug-2004,3 years,HR,664.0,660.0,D,RENT,67980332,w,637.73,16.55,18000.0,0.0,16.0,0.0,0.0,debt_consolidation,19657.0,97.8,D2, 36 months,Debt consolidation,28.0,Verified,945xx,10287.31,5.0,7.0,136.0,97.8,443.0,12325.0,4.0
24000.0,MN,60000.0,Individual,23.05,Aug-2006,< 1 year,Engineering Technician,669.0,665.0,B,RENT,66493836,w,781.65,10.64,24000.0,0.0,11.0,0.0,0.0,debt_consolidation,9176.0,57.7,B4, 36 months,Debt consolidation,25.0,Verified,554xx,791.65,5.0,2.0,112.0,51.7,4205.0,4793.0,7.0
22000.0,OH,50000.0,Individual,9.77,Jul-1985,,,774.0,770.0,A,MORTGAGE,67745806,w,674.18,6.49,22000.0,6.0,22.0,0.0,0.0,debt_consolidation,5946.0,7.5,A2, 36 months,Debt consolidation,56.0,Not Verified,452xx,674.1,5.0,3.0,365.0,8.7,51428.0,11731.0,5.0
21000.0,TX,150000.0,Individual,14.28,Feb-1994,9 years,CSO,669.0,665.0,B,RENT,67879068,w,669.46,9.17,21000.0,5.0,19.0,0.0,0.0,credit_card,42617.0,55.0,B2, 36 months,Credit card refinancing,39.0,Source Verified,750xx,21270.09,12.0,0.0,262.0,59.2,66283.0,4211.0,9.0
27000.0,AL,55000.0,Individual,36.18,Oct-2004,7 years,Sleep Technician,684.0,680.0,D,RENT,68544463,w,692.84,18.49,27000.0,2.0,15.0,1.0,1.0,debt_consolidation,1978.0,13.4,D5, 60 months,Debt consolidation,56.0,Not Verified,360xx,692.84,7.0,1.0,103.0,14.7,10828.0,11758.0,16.0
8000.0,TX,65000.0,Individual,14.9,Dec-2001,5 years,Deputy,719.0,715.0,A,OWN,68553554,w,250.36,7.91,8000.0,0.0,5.0,0.0,0.0,debt_consolidation,4989.0,32.8,A5, 36 months,Debt consolidation,32.0,Source Verified,770xx,383.71,1.0,2.0,168.0,0.0,6600.0,4429.0,3.0
5000.0,MD,79000.0,Individual,12.7,Oct-2011,2 years,General Manager,669.0,665.0,C,RENT,68436666,w,169.54,13.44,5000.0,0.0,3.0,0.0,0.0,credit_card,9441.0,101.5,C3, 36 months,Credit card refinancing,5.0,Verified,214xx,169.17,2.0,32.0,36.0,101.4,0.0,11884.0,1.0
12000.0,NM,56000.0,Individual,16.67,Jul-1998,9 years,IT,744.0,740.0,A,RENT,68122789,w,361.38,5.32,12000.0,2.0,9.0,0.0,0.0,credit_card,12083.0,60.1,A1, 36 months,Credit card refinancing,14.0,Not Verified,875xx,10194.07,2.0,32.0,209.0,60.1,8017.0,24151.0,1.0
22000.0,MN,100000.0,Individual,6.82,Apr-1999,10+ years,Maintenance mechanic,714.0,710.0,B,MORTGAGE,68384519,w,475.93,10.78,22000.0,0.0,8.0,0.0,0.0,debt_consolidation,24057.0,44.0,B4, 60 months,Debt consolidation,15.0,Verified,557xx,22210.65,7.0,7.0,200.0,55.0,10375.0,3436.0,4.0
8000.0,CA,65000.0,Individual,17.66,Oct-2011,2 years,Client Relations Manager,669.0,665.0,B,RENT,68373686,w,261.08,10.78,8000.0,0.0,9.0,0.0,0.0,credit_card,8231.0,82.3,B4, 36 months,Credit card refinancing,10.0,Verified,914xx,260.96,3.0,18.0,47.0,99.4,36.0,4366.0,3.0
6000.0,TX,50000.0,Individual,18.87,Sep-2004,1 year,Auto Glass technician ,759.0,755.0,B,MORTGAGE,68008974,w,192.93,9.76,6000.0,1.0,10.0,0.0,0.0,other,292.0,1.0,B3, 36 months,Other,30.0,Verified,782xx,4729.48,1.0,7.0,120.0,3.9,7208.0,15932.0,8.0
19950.0,AL,68000.0,Individual,31.19,Jul-1995,10+ years,Driver,664.0,660.0,D,MORTGAGE,67909290,w,495.71,16.99,19950.0,1.0,12.0,0.0,0.0,credit_card,22192.0,82.5,D3, 60 months,Credit card refinancing,24.0,Source Verified,351xx,495.71,6.0,12.0,245.0,97.4,518.0,5572.0,7.0
10000.0,FL,25000.0,Individual,23.33,Jun-1993,,,759.0,755.0,A,OWN,68424247,w,312.95,7.91,10000.0,0.0,11.0,0.0,0.0,debt_consolidation,11744.0,26.9,A5, 36 months,Debt consolidation,22.0,Verified,324xx,2454.42,5.0,11.0,270.0,17.9,25775.0,1484.0,2.0
16225.0,TX,55000.0,Individual,17.94,Oct-2005,3 years,CASEWORDER,694.0,690.0,D,MORTGAGE,68594582,w,568.59,15.77,16225.0,2.0,11.0,0.0,0.0,debt_consolidation,21233.0,37.1,D1, 36 months,Debt consolidation,16.0,Source Verified,782xx,14265.52,7.0,10.0,113.0,45.2,16169.0,15329.0,5.0
10000.0,CA,80000.0,Individual,5.27,Sep-2001,10+ years,faculty,689.0,685.0,A,RENT,68496489,w,301.15,5.32,10000.0,1.0,6.0,0.0,0.0,credit_card,19012.0,47.2,A1, 36 months,Credit card refinancing,9.0,Source Verified,900xx,301.06,5.0,8.0,171.0,47.2,21288.0,3802.0,1.0
9000.0,CT,28000.0,Individual,24.52,Mar-2012,2 years,Universal Banker,664.0,660.0,C,RENT,68485972,w,307.56,13.99,9000.0,0.0,8.0,0.0,0.0,debt_consolidation,5749.0,57.5,C4, 36 months,Debt consolidation,9.0,Verified,060xx,7248.9,4.0,1.0,45.0,62.4,3385.0,3674.0,6.0
12000.0,NV,33000.0,Individual,15.16,Apr-2010,3 years,retail supervisor,674.0,670.0,E,RENT,68493595,w,317.2,19.89,12000.0,0.0,2.0,0.0,0.0,credit_card,14319.0,85.2,E3, 60 months,Credit card refinancing,5.0,Verified,891xx,12182.62,1.0,30.0,68.0,85.2,2481.0,7160.0,0.0
2000.0,PA,54200.0,Individual,26.46,Mar-2000,< 1 year,logistics coordinator ,714.0,710.0,B,MORTGAGE,68473259,f,65.27,10.78,2000.0,1.0,7.0,0.0,0.0,debt_consolidation,10218.0,99.2,B4, 36 months,Debt consolidation,20.0,Verified,182xx,65.24,4.0,26.0,189.0,98.6,66.0,19173.0,1.0
22000.0,CO,80000.0,Individual,19.97,Aug-2003,< 1 year,Case Manager,674.0,670.0,D,MORTGAGE,68132447,w,770.96,15.77,22000.0,6.0,15.0,0.0,0.0,debt_consolidation,9509.0,21.9,D1, 36 months,Debt consolidation,50.0,Not Verified,801xx,22058.89,1.0,5.0,148.0,42.5,12891.0,22371.0,10.0
24000.0,OH,75000.0,Individual,34.77,Jan-2005,10+ years,driver,669.0,665.0,E,MORTGAGE,68355953,w,622.45,18.99,24000.0,1.0,10.0,0.0,0.0,medical,20520.0,64.9,E1, 60 months,Medical expenses,22.0,Verified,448xx,21943.32,3.0,21.0,131.0,83.4,4080.0,16049.0,4.0
24000.0,WA,80000.0,Individual,11.8,Jun-2000,1 year,"Manager, Business Operation",669.0,665.0,B,MORTGAGE,68252736,w,757.51,8.49,24000.0,1.0,25.0,0.0,0.0,credit_card,34614.0,25.2,B1, 36 months,Credit card refinancing,41.0,Not Verified,992xx,20657.91,6.0,10.0,186.0,25.2,102786.0,16316.0,8.0
21000.0,WI,86000.0,Individual,10.97,Aug-1999,10+ years,County Executive Director,704.0,700.0,B,MORTGAGE,67938431,w,458.9,11.22,21000.0,2.0,13.0,0.0,0.0,debt_consolidation,11274.0,29.6,B5, 60 months,Debt consolidation,30.0,Not Verified,542xx,17377.76,5.0,20.0,196.0,32.0,9584.0,13951.0,3.0
15600.0,MN,220000.0,Individual,7.73,Dec-2002,4 years,Div VP,684.0,680.0,C,MORTGAGE,68242215,w,533.1,13.99,15600.0,1.0,8.0,1.0,0.0,debt_consolidation,13692.0,76.5,C4, 36 months,Debt consolidation,16.0,Verified,553xx,12564.78,4.0,4.0,120.0,76.3,3668.0,6705.0,6.0
22000.0,GA,62000.0,Individual,14.73,Jan-2007,1 year,Application Support Engineer,714.0,710.0,C,MORTGAGE,68604297,w,489.27,11.99,22000.0,2.0,10.0,0.0,0.0,debt_consolidation,20888.0,31.6,C1, 60 months,Debt consolidation,16.0,Not Verified,301xx,17308.8,5.0,8.0,107.0,31.9,44612.0,20936.0,7.0
11000.0,CA,48000.0,Individual,16.95,Oct-2000,1 year,paralegal,664.0,660.0,C,RENT,68464034,w,380.52,14.85,11000.0,0.0,7.0,0.0,0.0,credit_card,16501.0,75.3,C5, 36 months,Credit card refinancing,21.0,Verified,915xx,2563.26,6.0,7.0,172.0,99.2,72.0,9847.0,3.0
9600.0,PA,62000.0,Individual,18.68,Apr-1989,10+ years,Teacher,669.0,665.0,C,MORTGAGE,67970035,w,321.57,12.59,9600.0,6.0,8.0,0.0,0.0,debt_consolidation,8678.0,87.7,C2, 36 months,Debt consolidation,34.0,Verified,180xx,6116.03,5.0,7.0,320.0,87.7,1222.0,27310.0,9.0
8300.0,CO,52000.0,Individual,9.46,May-1999,,,674.0,670.0,A,RENT,68546780,w,259.75,7.91,8300.0,2.0,8.0,1.0,1.0,debt_consolidation,7585.0,35.1,A5, 36 months,Debt consolidation,25.0,Not Verified,801xx,7736.39,6.0,4.0,199.0,37.7,11647.0,3341.0,5.0
20000.0,CA,225000.0,Individual,6.72,Dec-2001,10+ years,Staff nurse,684.0,680.0,B,MORTGAGE,67958777,w,637.58,9.17,20000.0,2.0,11.0,0.0,0.0,debt_consolidation,80582.0,62.6,B2, 36 months,Debt consolidation,20.0,Source Verified,921xx,637.51,9.0,6.0,168.0,64.0,15136.0,29214.0,6.0
4400.0,CA,32000.0,Individual,18.38,Nov-2011,2 years,,694.0,690.0,B,OWN,67666137,f,138.66,8.38,4400.0,0.0,5.0,0.0,0.0,car,6211.0,75.7,B1, 36 months,Car financing,7.0,Source Verified,941xx,138.37,3.0,7.0,49.0,79.7,1539.0,4437.0,3.0
18800.0,MI,47000.0,Individual,32.02,Nov-1999,10+ years,Ironer worker,669.0,665.0,C,RENT,67980271,w,639.54,13.67,18800.0,0.0,10.0,2.0,0.0,debt_consolidation,8864.0,65.7,C4, 36 months,Debt consolidation,20.0,Verified,482xx,646.79,6.0,11.0,105.0,70.7,2640.0,2409.0,5.0
